NET	The total number of nets: 3153
	0,58,45
	0,22,47
	0,39,44
	0,56,48
	0,55,49
	0,48,45
	0,48,47
	0,56,50
	0,56,49
	0,53,51
	0,52,52
	0,57,49
	0,51,53
	0,55,51
	0,56,50
	0,56,51
	0,54,47
	0,57,50
	0,50,47
	0,48,51
	0,53,50
	0,54,51
	0,55,48
	0,57,50
	0,56,51
	0,55,48
	0,48,52
	0,56,51
	0,57,51
	0,51,51
	0,56,45
net36	The number of pins: 48
	0,54,8
	0,57,5
	0,57,7
	0,58,5
	0,57,8
	0,57,5
	0,58,6
	0,57,7
	0,55,8
	0,57,6
	0,56,6
	0,54,7
	0,55,5
	0,56,6
	0,58,7
	0,57,8
	0,55,5
	0,56,6
	0,56,5
	0,56,8
	0,56,7
	0,55,6
	0,55,7
	0,56,5
	0,56,5
	0,56,8
	0,55,7
	0,55,6
	0,56,8
	0,57,6
	0,58,6
	0,57,6
	0,57,8
	0,57,8
	0,56,8
	0,57,6
	0,57,5
	0,48,9
	0,53,8
	0,53,8
	0,50,12
	0,50,10
	0,50,11
	0,48,9
	0,49,12
	0,53,11
	0,54,10
	0,49,12
net37	The number of pins: 45
	0,48,14
	0,42,14
	0,45,14
	0,42,14
	0,55,15
	0,42,14
	0,48,14
	0,58,17
	0,58,18
	0,59,17
	0,50,17
	0,60,16
	0,59,16
	0,59,17
	0,60,17
	0,57,18
	0,60,17
	0,60,17
	0,60,17
	0,59,17
	0,59,18
	0,59,17
	0,59,16
	0,57,17
	0,60,15
	0,50,17
	0,54,18
	0,52,18
	0,50,17
	0,53,32
	0,54,35
	0,50,33
	0,53,34
	0,55,39
	0,55,39
	0,54,35
	0,51,31
	0,53,44
	0,57,42
	0,55,44
	0,50,44
	0,51,44
	0,54,39
	0,54,39
	0,50,45
net38	The number of pins: 45
	0,62,38
	0,63,39
	0,61,35
	0,64,39
	0,64,39
	0,64,38
	0,64,40
	0,64,39
	0,63,37
	0,64,39
	0,63,38
	0,63,39
	0,63,39
	0,64,37
	0,63,38
	0,64,36
	0,62,38
	0,63,39
	0,64,38
	0,63,36
	0,57,35
	0,55,35
	0,58,38
	0,56,35
	0,57,35
	0,60,42
	0,62,39
	0,61,42
	0,60,39
	0,59,38
	0,52,43
	0,61,41
	0,60,41
	0,55,44
	0,57,42
	0,53,44
	0,55,44
	0,54,42
	0,52,44
	0,61,41
	0,52,43
	0,54,44
	0,53,44
	0,53,45
	0,52,45
net39	The number of pins: 44
	0,42,23
	0,26,21
	0,49,21
	0,44,18
	0,49,18
	0,44,21
	0,17,21
	0,48,21
	0,47,21
	0,47,23
	0,43,23
	0,49,21
	0,49,21
	0,46,18
	0,46,21
	0,48,22
	0,47,21
	0,46,23
	0,48,22
	0,47,21
	0,48,21
	0,46,21
	0,48,22
	0,48,23
	0,49,20
	0,46,21
	0,47,23
	0,46,21
	0,49,23
	0,46,18
	0,45,21
	0,44,21
	0,48,23
	0,49,21
	0,44,18
	0,49,23
	0,14,36
	0,14,36
	0,17,35
	0,17,28
	0,14,38
	0,49,37
	0,21,38
	0,15,38
net40	The number of pins: 44
	0,2,62
	0,9,44
	0,3,62
	0,8,42
	0,11,45
	0,5,63
	0,3,63
	0,3,61
	0,9,46
	0,1,59
	0,2,56
	0,2,63
	0,8,48
	0,2,65
	0,5,62
	0,3,60
	0,2,60
	0,10,45
	0,2,59
	0,2,59
	0,12,52
	0,8,45
	0,7,45
	0,5,53
	0,3,64
	0,5,64
	0,3,63
	0,5,63
	0,12,56
	0,12,53
	0,3,65
	0,1,59
	0,2,63
	0,1,60
	0,2,62
	0,1,58
	0,4,62
	0,3,56
	0,4,61
	0,3,65
	0,4,60
	0,2,64
	0,5,55
	0,8,53
net41	The number of pins: 44
	0,55,42
	0,58,42
	0,58,42
	0,59,42
	0,61,44
	0,60,44
	0,59,44
	0,62,44
	0,61,45
	0,60,47
	0,58,47
	0,52,45
	0,59,44
	0,57,48
	0,57,48
	0,52,48
	0,49,47
	0,53,49
	0,52,48
	0,49,44
	0,57,48
	0,50,48
	0,55,49
	0,53,50
	0,56,46
	0,50,48
	0,49,47
	0,58,50
	0,55,46
	0,52,48
	0,57,49
	0,50,50
	0,52,49
	0,50,48
	0,61,46
	0,59,45
	0,58,50
	0,53,48
	0,49,49
	0,61,45
	0,59,50
	0,59,50
	0,55,48
	0,58,47
net42	The number of pins: 44
	0,41,2
	0,41,1
	0,38,2
	0,40,1
	0,39,0
	0,39,0
	0,37,1
	0,39,0
	0,38,1
	0,40,0
	0,38,0
	0,39,2
	0,39,2
	0,40,2
	0,40,2
	0,38,1
	0,40,1
	0,40,2
	0,39,0
	0,41,0
	0,39,2
	0,39,2
	0,40,3
	0,39,1
	0,41,2
	0,40,2
	0,39,0
	0,40,0
	0,39,1
	0,41,0
	0,40,3
	0,41,0
	0,40,0
	0,41,3
	0,40,16
	0,40,11
	0,40,12
	0,33,18
	0,39,18
	0,40,18
	0,32,19
	0,40,15
	0,40,15
	0,40,17
net43	The number of pins: 44
	0,49,2
	0,50,1
	0,51,1
	0,51,3
	0,52,2
	0,52,1
	0,50,2
	0,52,0
	0,51,0
	0,52,2
	0,52,0
	0,50,0
	0,53,0
	0,51,2
	0,50,3
	0,51,3
	0,51,0
	0,50,2
	0,53,0
	0,51,0
	0,51,0
	0,51,2
	0,50,2
	0,53,1
	0,52,1
	0,50,0
	0,50,1
	0,46,6
	0,52,0
	0,51,2
	0,51,1
	0,52,2
	0,52,3
	0,51,2
	0,50,0
	0,50,2
	0,49,3
	0,46,9
	0,47,11
	0,49,6
	0,46,10
	0,50,9
	0,52,11
	0,52,11
net44	The number of pins: 43
	0,26,12
	0,26,12
	0,26,11
	0,40,13
	0,29,11
	0,41,14
	0,41,13
	0,39,13
	0,41,13
	0,40,13
	0,43,14
	0,42,14
	0,43,14
	0,44,15
	0,44,17
	0,28,15
	0,44,18
	0,43,14
	0,41,14
	0,33,16
	0,30,15
	0,35,21
	0,28,20
	0,32,15
	0,25,23
	0,35,23
	0,35,26
	0,36,27
	0,38,32
	0,41,33
	0,39,31
	0,40,28
	0,36,30
	0,42,35
	0,44,38
	0,43,38
	0,42,33
	0,43,37
	0,38,39
	0,41,39
	0,43,39
	0,41,42
	0,43,44
net45	The number of pins: 43
	0,51,13
	0,48,15
	0,48,12
	0,48,13
	0,43,16
	0,55,16
	0,57,13
	0,34,18
	0,61,13
	0,63,14
	0,62,13
	0,60,12
	0,60,13
	0,55,15
	0,60,14
	0,60,13
	0,61,15
	0,62,14
	0,61,14
	0,62,15
	0,62,14
	0,60,14
	0,63,14
	0,63,15
	0,61,15
	0,61,14
	0,59,14
	0,61,13
	0,54,18
	0,61,14
	0,63,14
	0,60,15
	0,60,14
	0,62,15
	0,63,14
	0,61,14
	0,60,14
	0,63,13
	0,59,14
	0,57,14
	0,57,14
	0,27,24
	0,27,26
net46	The number of pins: 41
	0,12,43
	0,13,45
	0,12,46
	0,13,44
	0,20,47
	0,14,43
	0,19,44
	0,15,44
	0,17,47
	0,16,45
	0,20,47
	0,32,46
	0,32,50
	0,34,51
	0,29,50
	0,30,50
	0,21,51
	0,21,53
	0,24,49
	0,23,50
	0,23,54
	0,21,50
	0,25,50
	0,19,61
	0,18,63
	0,18,65
	0,19,63
	0,17,65
	0,19,63
	0,19,63
	0,18,63
	0,19,60
	0,18,64
	0,18,64
	0,18,65
	0,19,64
	0,18,62
	0,19,64
	0,19,62
	0,19,62
	0,18,63
net47	The number of pins: 41
	0,48,50
	0,47,54
	0,45,54
	0,34,52
	0,39,52
	0,33,54
	0,35,54
	0,37,54
	0,36,54
	0,32,54
	0,32,55
	0,58,53
	0,60,61
	0,58,60
	0,57,65
	0,59,62
	0,60,65
	0,57,65
	0,61,62
	0,59,65
	0,57,66
	0,58,64
	0,61,60
	0,60,63
	0,59,62
	0,62,61
	0,61,63
	0,59,63
	0,58,60
	0,59,66
	0,58,65
	0,58,66
	0,59,61
	0,61,62
	0,59,64
	0,58,62
	0,59,66
	0,57,60
	0,59,63
	0,58,59
	0,59,60
net48	The number of pins: 40
	0,61,43
	0,57,43
	0,57,40
	0,59,42
	0,59,41
	0,58,42
	0,60,42
	0,60,43
	0,59,41
	0,62,46
	0,63,46
	0,64,47
	0,64,46
	0,64,42
	0,51,46
	0,53,45
	0,64,45
	0,64,43
	0,64,46
	0,58,46
	0,53,45
	0,64,45
	0,63,42
	0,64,47
	0,64,47
	0,52,47
	0,52,46
	0,64,44
	0,63,43
	0,64,47
	0,63,42
	0,64,42
	0,63,42
	0,53,44
	0,52,47
	0,51,47
	0,60,42
	0,61,44
	0,57,46
	0,51,46
net49	The number of pins: 39
	0,14,10
	0,11,13
	0,15,10
	0,9,14
	0,9,13
	0,10,11
	0,11,9
	0,11,8
	0,11,11
	0,11,11
	0,11,12
	0,14,6
	0,14,8
	0,13,9
	0,11,10
	0,15,9
	0,11,9
	0,12,10
	0,14,8
	0,13,9
	0,12,6
	0,13,11
	0,10,12
	0,9,12
	0,15,9
	0,12,12
	0,12,8
	0,12,7
	0,14,7
	0,36,12
	0,16,22
	0,16,23
	0,13,22
	0,16,24
	0,13,26
	0,39,24
	0,31,29
	0,29,29
	0,39,25
net50	The number of pins: 37
	0,3,47
	0,10,56
	0,15,58
	0,6,46
	0,4,47
	0,7,54
	0,17,57
	0,3,49
	0,3,47
	0,3,48
	0,5,53
	0,16,58
	0,3,53
	0,5,55
	0,6,59
	0,5,59
	0,4,60
	0,5,58
	0,4,59
	0,3,60
	0,4,58
	0,4,59
	0,5,59
	0,3,59
	0,3,59
	0,5,59
	0,4,57
	0,4,59
	0,4,59
	0,4,60
	0,18,59
	0,4,58
	0,5,59
	0,18,58
	0,5,58
	0,5,57
	0,4,57
net51	The number of pins: 37
	0,54,49
	0,51,50
	0,54,49
	0,54,48
	0,51,52
	0,51,49
	0,50,54
	0,50,54
	0,49,56
	0,54,54
	0,50,55
	0,54,55
	0,51,54
	0,49,55
	0,55,56
	0,54,59
	0,56,59
	0,55,58
	0,55,59
	0,53,59
	0,55,59
	0,55,57
	0,56,57
	0,56,60
	0,54,57
	0,56,59
	0,53,59
	0,53,58
	0,55,59
	0,54,58
	0,54,59
	0,53,58
	0,54,58
	0,56,58
	0,56,57
	0,55,57
	0,55,60
net52	The number of pins: 36
	0,26,38
	0,19,37
	0,19,38
	0,19,41
	0,19,41
	0,22,38
	0,18,37
	0,17,38
	0,18,40
	0,18,41
	0,17,42
	0,20,59
	0,18,59
	0,18,61
	0,18,62
	0,18,62
	0,15,59
	0,19,62
	0,18,59
	0,18,61
	0,19,60
	0,18,60
	0,19,60
	0,17,61
	0,18,60
	0,17,60
	0,19,61
	0,26,41
	0,17,60
	0,28,44
	0,18,60
	0,25,44
	0,27,45
	0,24,47
	0,24,43
	0,27,45
net53	The number of pins: 35
	0,52,50
	0,51,48
	0,52,48
	0,50,50
	0,49,56
	0,50,50
	0,52,50
	0,53,56
	0,47,60
	0,49,56
	0,49,56
	0,49,55
	0,47,56
	0,47,57
	0,47,58
	0,48,56
	0,51,47
	0,51,54
	0,49,54
	0,53,56
	0,50,58
	0,49,57
	0,51,62
	0,51,63
	0,51,62
	0,52,63
	0,52,63
	0,52,63
	0,51,63
	0,50,63
	0,52,62
	0,51,63
	0,51,61
	0,50,59
	0,51,63
net54	The number of pins: 34
	0,23,65
	0,25,66
	0,26,66
	0,27,65
	0,26,64
	0,23,65
	0,25,66
	0,25,66
	0,23,65
	0,26,66
	0,23,66
	0,23,66
	0,26,66
	0,24,66
	0,27,66
	0,24,65
	0,26,65
	0,24,66
	0,25,65
	0,23,66
	0,26,65
	0,26,66
	0,26,65
	0,27,65
	0,24,65
	0,27,66
	0,24,65
	0,25,65
	0,24,64
	0,25,64
	0,25,66
	0,24,66
	0,24,65
	0,26,65
net55	The number of pins: 33
	0,16,29
	0,60,56
	0,56,56
	0,59,57
	0,60,56
	0,59,56
	0,58,55
	0,58,56
	0,58,56
	0,58,56
	0,59,56
	0,60,56
	0,57,56
	0,60,57
	0,58,55
	0,59,56
	0,59,57
	0,58,53
	0,57,56
	0,49,37
	0,19,41
	0,17,41
	0,58,38
	0,27,39
	0,29,42
	0,14,42
	0,17,30
	0,15,50
	0,54,56
	0,19,58
	0,16,57
	0,14,56
	0,14,53
net56	The number of pins: 33
	0,17,15
	0,18,13
	0,18,12
	0,18,12
	0,33,18
	0,17,14
	0,17,15
	0,21,12
	0,19,12
	0,17,13
	0,18,20
	0,16,18
	0,16,15
	0,17,13
	0,18,18
	0,17,18
	0,20,13
	0,13,19
	0,37,12
	0,18,14
	0,18,13
	0,37,16
	0,33,21
	0,28,22
	0,34,21
	0,32,23
	0,30,24
	0,34,23
	0,19,23
	0,32,30
	0,38,38
	0,12,49
	0,13,49
net57	The number of pins: 33
	0,48,27
	0,17,33
	0,15,35
	0,2,37
	0,14,36
	0,2,38
	0,1,37
	0,17,28
	0,17,28
	0,2,36
	0,3,39
	0,1,38
	0,3,37
	0,0,36
	0,0,36
	0,3,37
	0,2,37
	0,1,38
	0,1,36
	0,1,37
	0,1,36
	0,1,36
	0,1,36
	0,15,38
	0,3,47
	0,15,43
	0,48,49
	0,16,47
	0,9,51
	0,4,47
	0,13,52
	0,9,50
	0,15,50
net58	The number of pins: 33
	0,12,36
	0,12,37
	0,18,37
	0,48,39
	0,48,51
	0,21,47
	0,21,43
	0,21,44
	0,16,46
	0,14,53
	0,13,50
	0,10,50
	0,14,63
	0,13,62
	0,18,59
	0,13,62
	0,14,62
	0,14,62
	0,16,57
	0,14,64
	0,17,59
	0,14,62
	0,13,64
	0,14,63
	0,13,63
	0,14,62
	0,14,63
	0,13,63
	0,13,63
	0,12,63
	0,13,64
	0,17,62
	0,12,63
net59	The number of pins: 33
	0,59,18
	0,58,19
	0,60,19
	0,41,18
	0,60,17
	0,60,19
	0,61,19
	0,61,18
	0,60,20
	0,55,22
	0,61,18
	0,61,19
	0,61,18
	0,60,20
	0,61,21
	0,39,18
	0,59,19
	0,59,19
	0,39,17
	0,61,17
	0,61,20
	0,58,20
	0,58,23
	0,39,23
	0,26,23
	0,48,21
	0,27,25
	0,58,26
	0,26,33
	0,26,38
	0,26,47
	0,26,48
	0,27,38
net60	The number of pins: 33
	0,19,33
	0,12,35
	0,2,53
	0,3,52
	0,3,51
	0,3,53
	0,4,51
	0,3,51
	0,2,53
	0,2,50
	0,11,35
	0,2,53
	0,2,53
	0,3,53
	0,2,52
	0,4,52
	0,13,38
	0,2,51
	0,3,52
	0,3,51
	0,47,39
	0,3,53
	0,27,40
	0,20,39
	0,16,45
	0,49,46
	0,48,47
	0,3,53
	0,13,47
	0,7,50
	0,7,52
	0,12,52
	0,8,51
net61	The number of pins: 33
	0,28,18
	0,16,20
	0,27,25
	0,15,20
	0,28,22
	0,21,17
	0,23,17
	0,28,24
	0,6,42
	0,14,44
	0,14,53
	0,13,56
	0,11,48
	0,13,47
	0,14,53
	0,16,54
	0,17,50
	0,13,48
	0,14,52
	0,19,53
	0,18,54
	0,13,52
	0,13,50
	0,17,52
	0,18,54
	0,16,56
	0,25,54
	0,26,53
	0,23,54
	0,13,54
	0,26,53
	0,21,55
	0,13,56
net62	The number of pins: 33
	0,43,3
	0,44,3
	0,43,2
	0,45,2
	0,45,3
	0,46,3
	0,44,2
	0,45,5
	0,45,2
	0,45,2
	0,44,3
	0,27,2
	0,45,3
	0,44,2
	0,44,4
	0,46,4
	0,44,5
	0,43,3
	0,44,2
	0,44,3
	0,45,2
	0,45,4
	0,44,5
	0,45,4
	0,46,3
	0,45,3
	0,45,23
	0,40,3
	0,27,23
	0,42,23
	0,51,23
	0,49,22
	0,27,25
net63	The number of pins: 33
	0,58,39
	0,21,42
	0,21,43
	0,57,46
	0,38,46
	0,58,49
	0,38,50
	0,38,51
	0,57,49
	0,21,53
	0,56,49
	0,27,51
	0,29,51
	0,55,55
	0,57,55
	0,57,53
	0,54,53
	0,54,55
	0,29,53
	0,56,56
	0,58,56
	0,57,54
	0,54,54
	0,57,54
	0,57,56
	0,56,54
	0,57,52
	0,49,54
	0,38,54
	0,37,53
	0,56,54
	0,56,54
	0,57,53
net64	The number of pins: 33
	0,51,12
	0,51,13
	0,52,11
	0,50,13
	0,50,12
	0,50,12
	0,52,13
	0,53,14
	0,53,12
	0,53,15
	0,42,15
	0,40,15
	0,53,11
	0,50,13
	0,39,15
	0,50,11
	0,53,13
	0,50,12
	0,44,15
	0,26,15
	0,24,15
	0,49,13
	0,28,15
	0,24,16
	0,23,17
	0,53,14
	0,27,20
	0,48,15
	0,44,15
	0,47,15
	0,29,21
	0,20,23
	0,53,24
net65	The number of pins: 33
	0,50,41
	0,17,39
	0,23,40
	0,25,44
	0,24,44
	0,17,52
	0,49,44
	0,18,53
	0,21,51
	0,48,51
	0,49,56
	0,48,57
	0,47,56
	0,20,55
	0,50,56
	0,49,54
	0,19,59
	0,48,60
	0,48,62
	0,47,62
	0,47,60
	0,48,61
	0,47,60
	0,47,61
	0,47,62
	0,46,62
	0,47,60
	0,48,62
	0,47,61
	0,49,61
	0,48,60
	0,47,59
	0,48,61
net66	The number of pins: 33
	0,19,31
	0,20,33
	0,26,37
	0,31,36
	0,35,33
	0,37,36
	0,37,37
	0,27,37
	0,18,54
	0,36,55
	0,28,54
	0,28,52
	0,22,56
	0,23,55
	0,29,56
	0,33,55
	0,25,57
	0,21,58
	0,33,56
	0,29,57
	0,21,58
	0,32,56
	0,33,57
	0,22,57
	0,24,57
	0,21,57
	0,21,57
	0,34,56
	0,32,57
	0,33,57
	0,33,56
	0,31,56
	0,29,57
net67	The number of pins: 33
	0,44,15
	0,45,9
	0,45,9
	0,43,10
	0,44,9
	0,46,9
	0,45,9
	0,44,9
	0,44,10
	0,46,9
	0,47,9
	0,47,8
	0,47,9
	0,46,11
	0,45,10
	0,46,8
	0,46,11
	0,46,12
	0,45,10
	0,45,11
	0,45,8
	0,46,23
	0,40,16
	0,44,10
	0,46,9
	0,41,15
	0,40,15
	0,19,15
	0,44,18
	0,15,24
	0,17,25
	0,49,22
	0,49,25
net68	The number of pins: 33
	0,32,30
	0,22,29
	0,20,33
	0,18,29
	0,38,32
	0,34,36
	0,33,38
	0,23,49
	0,23,44
	0,32,43
	0,36,31
	0,19,45
	0,23,44
	0,23,47
	0,30,54
	0,33,31
	0,25,57
	0,37,56
	0,35,55
	0,21,57
	0,22,57
	0,26,56
	0,37,31
	0,38,56
	0,23,57
	0,35,56
	0,33,56
	0,36,31
	0,34,57
	0,29,56
	0,28,56
	0,19,57
	0,27,56
net69	The number of pins: 33
	0,50,18
	0,51,15
	0,49,13
	0,42,12
	0,50,21
	0,51,16
	0,52,15
	0,52,14
	0,51,14
	0,50,14
	0,51,15
	0,39,15
	0,51,14
	0,51,11
	0,51,14
	0,52,15
	0,52,11
	0,51,14
	0,52,14
	0,53,15
	0,52,16
	0,46,11
	0,51,11
	0,47,11
	0,18,22
	0,40,16
	0,20,15
	0,49,18
	0,18,25
	0,50,18
	0,50,20
	0,15,29
	0,50,30
net70	The number of pins: 33
	0,46,15
	0,46,15
	0,48,18
	0,48,18
	0,41,16
	0,46,15
	0,43,18
	0,45,15
	0,45,15
	0,48,17
	0,44,18
	0,46,18
	0,45,18
	0,46,16
	0,44,18
	0,40,18
	0,47,22
	0,45,15
	0,45,18
	0,45,16
	0,46,15
	0,45,18
	0,46,17
	0,41,17
	0,40,21
	0,23,22
	0,28,22
	0,46,21
	0,36,17
	0,49,18
	0,49,18
	0,34,21
	0,22,23
net71	The number of pins: 33
	0,54,30
	0,30,27
	0,30,28
	0,33,27
	0,34,28
	0,45,32
	0,32,28
	0,48,32
	0,46,33
	0,50,33
	0,55,44
	0,54,47
	0,55,48
	0,54,33
	0,55,46
	0,29,48
	0,54,32
	0,54,48
	0,54,47
	0,45,49
	0,52,32
	0,53,32
	0,54,32
	0,55,48
	0,51,50
	0,47,50
	0,51,32
	0,52,32
	0,53,32
	0,54,31
	0,53,33
	0,49,33
	0,53,32
net72	The number of pins: 33
	0,12,23
	0,12,21
	0,17,15
	0,16,12
	0,14,15
	0,16,15
	0,17,13
	0,11,20
	0,12,20
	0,17,12
	0,14,15
	0,16,14
	0,16,13
	0,16,15
	0,15,12
	0,16,14
	0,14,13
	0,15,15
	0,15,15
	0,15,16
	0,15,13
	0,15,14
	0,13,25
	0,21,23
	0,24,23
	0,24,23
	0,22,26
	0,14,22
	0,15,25
	0,23,21
	0,21,25
	0,27,30
	0,24,40
net73	The number of pins: 33
	0,38,33
	0,39,33
	0,32,30
	0,24,31
	0,23,39
	0,43,33
	0,43,39
	0,45,33
	0,23,36
	0,41,38
	0,46,28
	0,47,30
	0,45,30
	0,41,38
	0,33,33
	0,46,29
	0,46,30
	0,46,30
	0,46,29
	0,47,28
	0,46,27
	0,39,39
	0,46,31
	0,46,30
	0,45,28
	0,48,30
	0,47,29
	0,47,29
	0,47,31
	0,47,30
	0,46,31
	0,45,28
	0,44,29
net74	The number of pins: 33
	0,4,19
	0,5,17
	0,5,16
	0,4,16
	0,3,17
	0,4,16
	0,2,17
	0,3,16
	0,4,15
	0,4,15
	0,38,16
	0,3,20
	0,4,15
	0,4,17
	0,6,16
	0,5,18
	0,5,17
	0,3,17
	0,4,20
	0,4,19
	0,4,18
	0,4,18
	0,4,19
	0,5,18
	0,26,22
	0,4,26
	0,5,27
	0,5,26
	0,3,26
	0,5,30
	0,40,27
	0,25,30
	0,10,31
net75	The number of pins: 33
	0,50,37
	0,24,46
	0,24,43
	0,21,46
	0,25,45
	0,50,48
	0,21,50
	0,24,53
	0,47,53
	0,26,53
	0,50,55
	0,48,56
	0,48,58
	0,26,54
	0,49,53
	0,48,53
	0,27,56
	0,30,57
	0,45,63
	0,45,64
	0,46,63
	0,45,63
	0,46,64
	0,46,63
	0,46,65
	0,45,63
	0,46,65
	0,46,64
	0,46,63
	0,46,63
	0,47,62
	0,42,58
	0,45,64
net76	The number of pins: 33
	0,34,30
	0,24,30
	0,39,30
	0,35,41
	0,43,36
	0,22,42
	0,30,41
	0,43,32
	0,44,25
	0,28,41
	0,42,27
	0,44,25
	0,43,27
	0,43,27
	0,47,30
	0,45,31
	0,46,25
	0,46,29
	0,47,27
	0,47,25
	0,44,26
	0,46,27
	0,45,26
	0,45,27
	0,44,27
	0,46,25
	0,47,27
	0,46,27
	0,46,29
	0,46,25
	0,47,28
	0,46,27
	0,44,27
net77	The number of pins: 33
	0,14,30
	0,29,30
	0,22,35
	0,22,33
	0,17,36
	0,12,36
	0,6,36
	0,5,39
	0,28,40
	0,4,42
	0,15,46
	0,15,50
	0,8,50
	0,8,52
	0,12,53
	0,5,42
	0,6,36
	0,5,46
	0,7,47
	0,5,37
	0,9,37
	0,5,37
	0,7,37
	0,4,47
	0,6,46
	0,4,36
	0,8,36
	0,5,37
	0,28,47
	0,10,37
	0,6,37
	0,8,37
	0,11,37
net78	The number of pins: 33
	0,35,30
	0,25,30
	0,45,34
	0,42,37
	0,42,40
	0,24,39
	0,40,39
	0,44,36
	0,46,50
	0,46,47
	0,46,48
	0,46,48
	0,21,48
	0,43,51
	0,45,50
	0,46,46
	0,47,43
	0,21,42
	0,43,51
	0,45,48
	0,46,50
	0,41,50
	0,41,31
	0,45,48
	0,47,46
	0,36,48
	0,41,52
	0,43,49
	0,35,49
	0,24,50
	0,42,50
	0,42,40
	0,40,48
net79	The number of pins: 33
	0,34,24
	0,6,24
	0,5,31
	0,5,24
	0,6,24
	0,5,31
	0,4,32
	0,4,24
	0,4,32
	0,5,27
	0,5,24
	0,3,28
	0,6,27
	0,5,25
	0,3,27
	0,4,29
	0,4,30
	0,35,24
	0,3,28
	0,3,27
	0,3,28
	0,4,27
	0,4,28
	0,4,28
	0,27,27
	0,4,28
	0,4,27
	0,4,30
	0,4,30
	0,3,30
	0,19,27
	0,29,32
	0,19,31
net80	The number of pins: 33
	0,18,16
	0,9,16
	0,9,15
	0,19,21
	0,6,21
	0,6,17
	0,9,17
	0,7,21
	0,5,17
	0,6,16
	0,6,18
	0,8,17
	0,5,18
	0,5,16
	0,9,16
	0,7,17
	0,8,17
	0,7,17
	0,6,15
	0,6,17
	0,5,27
	0,6,18
	0,6,27
	0,5,28
	0,7,27
	0,6,27
	0,5,28
	0,5,27
	0,6,28
	0,5,28
	0,19,28
	0,21,30
	0,21,34
net81	The number of pins: 33
	0,30,26
	0,37,25
	0,38,31
	0,30,33
	0,42,31
	0,38,32
	0,36,32
	0,44,26
	0,45,24
	0,45,25
	0,45,25
	0,36,33
	0,30,30
	0,43,28
	0,46,24
	0,44,26
	0,36,31
	0,46,25
	0,44,29
	0,46,25
	0,45,28
	0,44,27
	0,45,27
	0,42,28
	0,45,29
	0,46,26
	0,45,28
	0,44,28
	0,45,27
	0,45,29
	0,45,26
	0,45,30
	0,46,26
net82	The number of pins: 33
	0,54,36
	0,29,41
	0,29,41
	0,51,46
	0,31,45
	0,36,48
	0,52,46
	0,53,50
	0,35,50
	0,53,50
	0,37,50
	0,31,51
	0,31,52
	0,51,49
	0,51,56
	0,52,54
	0,54,50
	0,32,54
	0,53,53
	0,50,54
	0,36,53
	0,50,53
	0,50,54
	0,52,56
	0,52,54
	0,51,54
	0,50,53
	0,53,54
	0,50,57
	0,50,56
	0,51,56
	0,50,55
	0,51,54
net83	The number of pins: 33
	0,31,30
	0,27,30
	0,22,35
	0,23,35
	0,31,36
	0,34,33
	0,23,38
	0,26,40
	0,23,48
	0,29,46
	0,22,49
	0,21,57
	0,23,57
	0,30,30
	0,26,46
	0,28,57
	0,26,56
	0,31,56
	0,21,56
	0,23,57
	0,28,57
	0,24,57
	0,27,57
	0,25,57
	0,21,58
	0,26,57
	0,26,57
	0,21,58
	0,22,58
	0,23,58
	0,23,57
	0,20,57
	0,21,57
net84	The number of pins: 33
	0,11,37
	0,7,34
	0,18,35
	0,20,34
	0,5,42
	0,7,39
	0,8,36
	0,6,40
	0,7,38
	0,18,39
	0,8,38
	0,6,39
	0,7,39
	0,6,40
	0,9,37
	0,6,40
	0,19,41
	0,25,42
	0,14,45
	0,14,47
	0,13,54
	0,5,44
	0,6,49
	0,5,50
	0,8,50
	0,6,54
	0,7,54
	0,5,51
	0,6,48
	0,6,51
	0,28,51
	0,29,52
	0,21,42
net85	The number of pins: 33
	0,30,34
	0,29,36
	0,33,34
	0,51,34
	0,29,35
	0,35,33
	0,52,43
	0,52,47
	0,51,47
	0,51,51
	0,54,51
	0,55,51
	0,55,51
	0,51,48
	0,56,50
	0,54,53
	0,50,51
	0,52,50
	0,52,50
	0,52,51
	0,54,52
	0,54,51
	0,50,51
	0,49,50
	0,49,50
	0,54,50
	0,55,50
	0,55,50
	0,44,49
	0,55,50
	0,55,53
	0,35,48
	0,35,49
net86	The number of pins: 33
	0,20,33
	0,18,38
	0,3,40
	0,34,38
	0,32,39
	0,26,38
	0,23,38
	0,12,43
	0,15,45
	0,11,49
	0,8,49
	0,8,50
	0,6,48
	0,5,41
	0,5,42
	0,3,42
	0,5,49
	0,28,48
	0,22,49
	0,25,49
	0,4,42
	0,5,47
	0,4,43
	0,3,48
	0,4,44
	0,5,47
	0,5,46
	0,5,49
	0,6,47
	0,5,48
	0,4,48
	0,4,48
	0,5,46
net87	The number of pins: 33
	0,24,39
	0,21,39
	0,21,40
	0,38,46
	0,39,49
	0,38,49
	0,21,45
	0,20,45
	0,23,53
	0,30,51
	0,26,52
	0,29,53
	0,39,53
	0,39,55
	0,36,56
	0,24,57
	0,25,57
	0,39,39
	0,37,58
	0,35,58
	0,37,57
	0,33,58
	0,31,58
	0,33,58
	0,35,58
	0,37,58
	0,31,58
	0,32,58
	0,32,58
	0,35,58
	0,36,57
	0,35,57
	0,37,57
net88	The number of pins: 33
	0,53,39
	0,32,39
	0,33,41
